"Lot","ln_N0","N0","var_N0_CRR"
140,-0.726430692295152,0.483632144967147,0.3381
141,-1.86811200922457,0.154414920727467,0.3343
142,-2.18802844952836,0.112137615789696,0.346
143,-3.29235695039998,0.0371661473163072,0.3249
144,-2.12352098337126,0.119609742306454,0.3416
145,-4.25335160379379,0.014216505875921,0.3094
146,-1.42828419383393,0.239719882431325,0.3351
147,-1.71659286752379,0.179677290530157,0.3372
148,-2.4374938691381,0.0873795619058052,0.3436
149,-1.93739699589755,0.144078499013628,0.3357
150,-1.64250600915412,0.19349453512598,0.3245
151,-3.14618996511255,0.0430157063893667,0.3233
152,-1.20694243390509,0.299110432622788,0.3274
153,-3.27676230710317,0.037750282982004,0.3329
154,-1.82531608373326,0.161166693907645,0.3299
155,-1.25201550793096,0.285927925709333,0.3354
156,-2.70633901548164,0.0667808433689431,0.3353
157,-0.564260862922549,0.568780398107899,0.337
158,0.578451494408201,1.78327488049162,0.3305
159,-2.01081201431825,0.133879918108409,0.3304
160,-1.57333723507793,0.207352043902944,0.3369
161,-2.51419364584342,0.0809281426479591,0.3389
162,-2.2189662525499,0.108721441265948,0.3302
163,-3.28537224900501,0.0374266504665958,0.3267
164,-0.453264572281924,0.635549962476834,0.3354
165,-1.06485735833927,0.344777030828118,0.3308
166,-2.37707606048893,0.0928215858135607,0.3436
167,-3.67036877088973,0.0254670766982763,0.3172
168,-3.31159325236366,0.0364580405962882,0.3179
169,-2.02821524507301,0.131570132166261,0.3407
170,-2.18502676008259,0.112474723781119,0.3479
171,-1.44319257100358,0.236172556150113,0.3335
172,-3.03392521876724,0.0481263603978118,0.3295
173,-3.33123874726141,0.0357487939076058,0.329
174,-0.109623543944734,0.896171440967673,0.3344
175,-1.57612060554759,0.206775708796259,0.3409
176,-1.70266375768168,0.182197546962185,0.3351
177,-2.6023742574746,0.0740974427942529,0.3349
178,-2.14701500042073,0.116832382402064,0.3386
179,-3.67559903068763,0.0253342249981577,0.3166
180,-1.68587583020469,0.185282085225636,0.3398
181,-1.38548596979204,0.250202179541047,0.3408
182,-0.921968683658478,0.397735254927383,0.3305
183,-1.79394697873173,0.166302480225264,0.338
184,-2.3898301990484,0.0916452440060466,0.3387
185,-3.08951091625411,0.0455242141139142,0.3199
186,0.166684912858842,1.18138196839142,0.3454
187,-3.47557747714992,0.0309439592332049,0.3209
188,-2.69522403474528,0.0675272516288306,0.328
189,-2.87297169140282,0.0565306849720612,0.3257
190,0.106496684679166,1.11237423856208,0.3335
191,-2.23147287815229,0.107370170437534,0.3309
192,-0.0872066315003321,0.916487700837701,0.3366
193,0.0827549963470072,1.08627563444416,0.3456
194,-1.57131317164955,0.207772162621845,0.3387
195,-2.4764880825375,0.0840378419198266,0.3256
196,-2.71440915008901,0.0662440817561354,0.3426
197,-1.63016933222126,0.195896399745737,0.3378
198,-0.922570773441611,0.397495854671456,0.3397
199,-1.05125904241869,0.349497439883285,0.3359
200,-1.08144637870075,0.339104696957423,0.3395
201,-1.58063048951385,0.205845273996054,0.3372
202,-1.31843029209322,0.267554955642205,0.333
203,-1.62770298857516,0.19638014388097,0.3343
204,-2.9984283550119,0.0498653774852836,0.3307
205,-0.0379593662300406,0.962752060342157,0.3368
206,-1.11480093552531,0.327980561679852,0.334
207,-2.97458754970171,0.0510684928761069,0.3312
208,-2.68885084088938,0.0679589902095042,0.3328
209,-1.93573809957516,0.144317708662923,0.3395
210,-1.509925210457,0.220926500333517,0.3328
211,-1.61686832557021,0.198519424827386,0.3386
212,-2.42775855214872,0.0882343838693421,0.3315
213,0.0773065617675353,1.08037322675698,0.3375
214,-1.45466824941822,0.233477807452924,0.3415
215,-0.640748987406912,0.526897636521577,0.3315
216,-3.27362088028749,0.0378690591989807,0.3269
217,-3.5904622194445,0.0275855768859855,0.325
218,-1.8815574990354,0.152352631795094,0.3328
219,-2.71857014124978,0.0659690133928825,0.3322
220,-2.13350852598072,0.118421080693747,0.3342
221,-1.2829863613676,0.277208219184673,0.3439
222,-2.2015217440655,0.110634672542319,0.3349
223,-0.445424757434865,0.640552138956847,0.3329
224,-2.12981213381741,0.11885962145839,0.331
225,-2.64283776112016,0.0711590503807149,0.3407
226,-0.696558961835104,0.49829701611861,0.3327
227,-2.51923489057188,0.0805211907094691,0.3333
228,-1.75815771542664,0.172362111562176,0.3414
229,-1.658457258747,0.190432541736525,0.3369
230,-1.59261318330713,0.203393412399796,0.341
231,-1.45859425921889,0.232562968301439,0.3319
232,-3.43163299689811,0.0323340961583746,0.326
233,-3.49425683509038,0.0303713109443047,0.3302
234,-2.1656868979703,0.114671140165078,0.3385
235,-2.74508591555362,0.0642427812532757,0.3252
236,-2.86545525174592,0.0569571953661977,0.3272
237,-0.824736505127145,0.438350480353135,0.3317
238,-1.41037334535692,0.244052150405302,0.3409
239,-1.79594450222772,0.165970618674542,0.3325
240,-0.367550464524444,0.692428382857883,0.3319
241,-2.06287880442529,0.127087582474168,0.3361
242,-1.0021069519563,0.367105152843774,0.3357
243,0.0186166303974207,1.01879100023996,0.335
244,-1.33822570562757,0.262310672281267,0.3361
245,-2.00040129206932,0.135280985156174,0.3348
246,-1.50248438177442,0.222576507672062,0.338
247,-3.75970539133813,0.023290600977039,0.3236
248,-1.16569909272579,0.311704675373931,0.3329
249,-2.04414324179628,0.129491085014866,0.3385
250,-1.79098210972968,0.16679627695343,0.3288
251,1.11820108225467,3.05934573880259,0.3384
252,-2.09493238104041,0.123078565817165,0.3376
253,-0.220162673706517,0.80238825987291,0.3371
254,-2.25958199643617,0.104394112746973,0.3343
255,-2.30092252977388,0.100166394604463,0.3355
256,-0.0165149271766562,0.983620696601186,0.3348
257,-0.990755341379931,0.371296129744609,0.341
258,-0.560774747038099,0.570766692703457,0.3391
259,-2.94114695254847,0.0528051290151941,0.3235
260,-1.85619419258248,0.156266219245364,0.3351
261,-0.399340537207351,0.670762242955349,0.3359
262,-3.06779916609469,0.0465234326158611,0.3355
263,-1.31159897825945,0.269388964725509,0.3342
264,-4.38431847901565,0.0124713847491036,0.2931
265,-1.05263749619209,0.349016005712092,0.3339
266,-2.23785201900087,0.106687420990106,0.341
267,-1.92103695110434,0.146455016672686,0.3356
268,-1.37584534840788,0.252625948570882,0.345
269,-3.46424952762156,0.0312964837619146,0.3186
270,-3.22470996471957,0.0397673138277786,0.3262
271,-2.0185316501628,0.132850392786686,0.3344
272,-2.42601095167442,0.0883887171376091,0.3318
273,0.270669371651965,1.31084159733743,0.3408
274,-0.74086077357421,0.476703405174242,0.3329
275,-2.8266623666894,0.0592101459971817,0.3376
276,-3.50351579351436,0.0300914020709735,0.3279
277,-3.34880350401915,0.0351263575129631,0.3225
278,-0.594132514770438,0.552041245840784,0.3427
279,-1.61974553861487,0.197949063068272,0.3359
280,-2.37773554520963,0.0927603915765155,0.3352
281,-3.21099856642786,0.040316334626674,0.3265
282,-2.47323336268875,0.0843118071501581,0.3286
283,-2.24563897331088,0.105859877122167,0.3403
284,0.723349324406452,2.06132571010273,0.333
285,-1.97820698977186,0.138317018936695,0.3269
286,-1.97775167440211,0.138380011140886,0.3317
287,-1.27815284693936,0.278551352523966,0.3335
288,-2.30052953941901,0.100205766767359,0.3445
289,-1.92835961303351,0.145386493090875,0.3326
290,-1.07749177973264,0.340448375145149,0.3434
291,-3.03735688226481,0.0479614899752662,0.3336
292,-1.58494038046823,0.204960012372509,0.3377
293,-2.93958890151921,0.0528874662269387,0.3288
294,-1.65487675217546,0.191115608837023,0.3387
295,-1.26549504707576,0.282099608981016,0.3338
296,-3.94250709474967,0.0193995172983711,0.3132
297,-1.49549079507564,0.224138571623678,0.3283
298,-1.79916160615229,0.165437531903389,0.3324
299,-1.01170554641808,0.363598316630698,0.3378
300,-1.29117636311324,0.274947155083717,0.3374
301,-2.28148926153807,0.102131992152304,0.3317
302,-1.25550194361137,0.284932792129731,0.3383
303,-2.11882741799148,0.120172457990423,0.3426
304,-3.59845581328864,0.0273659479700555,0.3169
305,-1.15768169637495,0.314213780104229,0.3336
306,-1.84037513897397,0.158757858674374,0.3326
307,-2.21738426703737,0.10889357313009,0.3323
308,-1.84906964254986,0.157383521153347,0.3332
309,-2.68335868578773,0.0683332583528549,0.3334
310,-0.359612036431987,0.697947051580234,0.3383
311,-0.262383560721789,0.769215926101441,0.3401
312,-1.97010960517218,0.139441571859952,0.3384
313,-1.71021256952794,0.180827350146958,0.3403
314,-2.50056730687863,0.0820384444460487,0.3311
315,-1.29753789609516,0.273203621342003,0.3307
316,-1.64837288165043,0.19236265091647,0.3451
317,0.664783069531156,1.94406874784579,0.3342
318,-2.33146721793346,0.0971530976990157,0.3327
319,-1.4839153518147,0.226748149313096,0.3363
320,-0.942203912012638,0.38976787396741,0.3281
321,-1.69838625437716,0.182978566787972,0.3306
322,-0.18083400425633,0.834573882910598,0.3318
323,-2.63539596889412,0.0716905765493025,0.333
324,-2.77410295080288,0.0624054323314082,0.3231
325,-1.94333299509518,0.143225782525148,0.3348
326,-3.6397437973239,0.0262590707481389,0.3164
327,-0.819957393500158,0.440450420156984,0.3408
328,-2.35426459776683,0.0949633170975177,0.3344
329,-0.96042885899542,0.382728714122484,0.3366
330,-0.979662478327997,0.375437795861296,0.3369
331,-0.611498383677729,0.542537330649557,0.341
332,-3.99915191481456,0.0183311786993477,0.306
333,-1.12379358912585,0.325044367974342,0.3408
334,-1.44910224496577,0.234780969306724,0.3344
335,-1.9678987423688,0.139750199084935,0.3273
336,-0.892495805133187,0.4096321139495,0.3348
337,-0.97616142229547,0.376754528253301,0.3384
338,-1.42998399929506,0.239312751385843,0.3345
339,-2.96963598693265,0.0513219888066762,0.3378
