"Lot","mumax","var_mumax_CRR"
143,1.35035989247005,0.3298
144,2.55825936503649,0.3399
145,0.359588312971427,0.3326
146,3.27691958088792,0.3325
147,2.97889166601159,0.3349
148,2.23373158299762,0.3407
149,2.75064891916295,0.334
150,3.05547548146188,0.3232
151,1.50135752617827,0.3252
152,3.50572656816826,0.3262
153,1.36646846978933,0.3378
154,2.86650505125295,0.3289
155,3.45913310809132,0.3343
156,1.95587125292423,0.3353
157,4.17009465859313,0.3358
158,5.35138592219144,0.33
159,2.67476190417009,0.3292
160,3.12697585958426,0.3357
161,2.15445718992985,0.3377
162,2.4596032589574,0.3285
163,1.35757473296666,0.3312
164,4.28483747322044,0.3342
165,3.65260496855442,0.3293
166,2.29617867571324,0.3421
167,0.960051209798567,0.331
168,1.33049018075412,0.3234
169,2.6567727881711,0.3392
170,2.4946843039473,0.3465
171,3.26150848295661,0.3323
172,1.61734989429222,0.3306
173,1.3101984411892,0.3344
174,4.64007896050599,0.3331
175,3.12409865772815,0.3398
176,2.9932901939579,0.3339
177,2.06331901661391,0.3315
178,2.53397484220072,0.3355
179,0.954653762608127,0.328
180,3.01064390585469,0.3381
181,3.32116106356057,0.34
182,3.80031484000275,0.3296
183,2.8989310097566,0.3356
184,2.28299607479959,0.338
185,1.55991691220932,0.3252
186,4.92571604742291,0.3452
187,1.16113446423206,0.3294
188,1.96735837709967,0.3274
189,1.78366731760491,0.3262
190,4.8634956928468,0.3329
191,2.44667603075167,0.33
192,4.66325267128818,0.336
193,4.83895242776035,0.345
194,3.12906815743254,0.3361
195,2.19342820503148,0.3235
196,1.94753095687106,0.3418
197,3.06822798709054,0.3359
198,3.7996924337259,0.3386
199,3.6666620735025,0.3349
200,3.63545626614726,0.3383
201,3.11943674035378,0.3351
202,3.39047822523309,0.3326
203,3.07077746450337,0.3332
204,1.65402793154658,0.3328
205,4.71416255390269,0.335
206,3.600976421874,0.3333
207,1.67866265685037,0.3329
208,1.97394497946844,0.3316
209,2.75236368120397,0.3383
210,3.19252574331039,0.3312
211,3.08197734034019,0.3366
212,2.24379381659297,0.3294
213,4.83332004172167,0.3371
214,3.24964584598325,0.3392
215,4.09102493249908,0.3308
216,1.36971347079932,0.3328
217,1.04252446697866,0.3344
218,2.80836907595434,0.3311
219,1.94323068173135,0.331
220,2.54793575885377,0.3321
221,3.42711761421883,0.342
222,2.47763448458324,0.3343
223,4.29294191894876,0.332
224,2.55175652624947,0.3299
225,2.02149936316186,0.3397
226,4.03333136156484,0.332
227,2.14924678902888,0.3319
228,2.93592616676213,0.3393
229,3.03898658611027,0.3355
230,3.10705010341853,0.3401
231,3.24558745345238,0.3303
232,1.20651290755224,0.3354
233,1.14184697330075,0.3408
234,2.51467475830887,0.3372
235,1.91582752588938,0.3254
236,1.791434712438,0.3274
237,3.90082809633866,0.3313
238,3.2954344130986,0.34
239,2.89686618487729,0.331
240,4.37344489775033,0.3308
241,2.62094240129637,0.3346
242,3.71747254567415,0.3344
243,4.77264862648877,0.3348
244,3.37001517704256,0.3353
245,2.68552312716453,0.3328
246,3.20021744858533,0.3368
247,0.867874723667029,0.3368
248,3.54836119210005,0.3323
249,2.6403086088959,0.3362
250,2.9019957730869,0.3283
251,5.90936190010192,0.3375
252,2.58781001687276,0.3367
253,4.52580811150427,0.3362
254,2.41762170866726,0.333
255,2.37489135605287,0.3333
256,4.73633097941389,0.3342
257,3.72920716937432,0.3402
258,4.17369843967902,0.3383
259,1.71321762651316,0.324
260,2.83458673270217,0.334
261,4.34058172233605,0.335
262,1.58234985225783,0.3376
263,3.39753994169901,0.3322
264,0.225304211715763,0.3206
