"Lot","WI_Nisin5_CRR"
1,0.1224
2,0.0983
3,0.0949
4,0.1105
5,0.1036
6,0.1115
7,0.1121
8,0.1174
9,0.1201
10,0.1149
11,0.1085
12,0.115
13,0.1123
14,0.0971
15,0.1135
16,0.1165
17,0.09
18,0.1005
19,0.1048
20,0.0984
21,0.1149
22,0.1153
23,0.11
24,0.1132
25,0.1177
26,0.1144
27,0.1082
28,0.1163
29,0.123
30,0.1153
31,0.0988
32,0.1027
33,0.1156
34,0.0992
35,0.1068
36,0.1057
37,0.1062
38,0.1208
39,0.1163
40,0.1099
41,0.1153
42,0.1001
43,0.1052
44,0.1097
45,0.0981
46,0.0957
47,0.1029
48,0.0938
49,0.1015
50,0.099
51,0.0958
52,0.1075
53,0.1138
54,0.1088
55,0.1059
56,0.109
57,0.1048
58,0.1019
59,0.1117
60,0.1129
61,0.1093
62,0.1037
63,0.1078
64,0.103
65,0.107
66,0.1065
67,0.1114
68,0.1069
69,0.1055
70,0.1124
71,0.1145
72,0.1158
73,0.1105
74,0.0961
75,0.0917
76,0.1171
77,0.1198
78,0.1119
79,0.1088
80,0.104
81,0.1098
82,0.1187
83,0.1083
84,0.1202
85,0.1041
86,0.112
87,0.106
88,0.1056
89,0.1086
90,0.1037
91,0.1113
92,0.1028
93,0.1165
94,0.1066
95,0.1003
96,0.1125
97,0.1089
98,0.1107
99,0.115
100,0.1092
101,0.0957
102,0.1197
103,0.1159
104,0.1091
105,0.1131
106,0.1129
107,0.1128
108,0.1131
109,0.1148
110,0.1005
111,0.1066
112,0.1223
113,0.1205
114,0.1054
115,0.1057
116,0.1178
117,0.1039
118,0.0952
119,0.1071
120,0.1072
121,0.1009
122,0.1077
123,0.1067
124,0.1145
125,0.1116
126,0.1034
127,0.1187
128,0.1229
129,0.1095
130,0.1193
131,0.107
132,0.1139
133,0.1057
134,0.109
135,0.1192
136,0.1158
137,0.1059
138,0.1029
139,0.1174
140,0.1105
141,0.1015
142,0.1112
143,0.1094
144,0.0993
145,0.1076
146,0.112
147,0.1196
148,0.1161
149,0.0987
150,0.1085
151,0.1098
152,0.0906
153,0.1118
154,0.1061
155,0.1103
156,0.1107
157,0.1009
158,0.103
159,0.1074
160,0.111
161,0.1105
162,0.097
163,0.1092
164,0.1184
165,0.1132
166,0.1024
167,0.1069
168,0.1102
169,0.1077
170,0.113
171,0.1134
172,0.1124
173,0.1077
174,0.1125
175,0.1008
176,0.095
177,0.1051
178,0.1186
179,0.0997
180,0.1129
181,0.1037
182,0.1056
183,0.1081
184,0.1124
185,0.0987
186,0.1127
187,0.112
188,0.1107
189,0.1077
190,0.1019
191,0.102
192,0.1072
193,0.1247
194,0.1168
195,0.1038
196,0.1216
197,0.1085
198,0.1083
199,0.1081
200,0.1074
201,0.1078
202,0.1068
203,0.1145
204,0.0981
205,0.1038
206,0.1124
207,0.1069
208,0.1008
209,0.1261
210,0.1042
211,0.1022
212,0.097
213,0.1167
214,0.1112
215,0.1047
216,0.12
217,0.1167
218,0.1121
219,0.1254
220,0.1161
221,0.1192
222,0.1135
223,0.1079
224,0.1154
225,0.1127
226,0.1177
227,0.0952
228,0.1046
229,0.1104
230,0.1167
231,0.1019
232,0.1152
233,0.116
234,0.109
235,0.1124
236,0.1152
237,0.1141
238,0.1127
239,0.1164
240,0.0961
241,0.1147
242,0.0996
243,0.1182
244,0.095
245,0.1172
246,0.1029
247,0.0998
248,0.1063
249,0.1194
250,0.1011
251,0.1155
252,0.1053
253,0.1172
254,0.1002
255,0.1073
256,0.1102
257,0.1214
258,0.1148
259,0.1027
260,0.1061
261,0.1018
262,0.1056
263,0.1061
264,0.1144
265,0.1091
266,0.1009
267,0.108
268,0.1165
269,0.1032
270,0.1087
271,0.1067
272,0.1125
273,0.0961
274,0.098
275,0.1182
276,0.1083
277,0.1065
278,0.1234
279,0.1023
280,0.113
281,0.114
282,0.1018
283,0.1178
284,0.109
285,0.1081
286,0.1003
287,0.103
288,0.1074
289,0.1059
290,0.1081
291,0.1088
292,0.1068
293,0.1178
294,0.1252
295,0.1021
296,0.1105
297,0.1045
298,0.1067
299,0.1129
300,0.1117
301,0.1152
302,0.1069
303,0.1046
304,0.1045
305,0.0884
306,0.1132
307,0.1074
308,0.1023
309,0.1018
310,0.1029
311,0.1075
312,0.1218
313,0.1064
314,0.1143
315,0.095
316,0.1199
317,0.1069
318,0.1142
319,0.1073
320,0.1108
321,0.1125
322,0.1019
323,0.1092
324,0.0966
325,0.0991
326,0.0994
327,0.1125
328,0.1007
329,0.1056
330,0.1019
331,0.1038
332,0.1207
333,0.1045
334,0.1155
335,0.0966
336,0.116
337,0.1005
338,0.0989
339,0.1007
340,0.0925
341,0.097
342,0.1015
343,0.1074
344,0.1085
345,0.1005
346,0.1099
347,0.1139
348,0.1039
349,0.1075
350,0.1125
351,0.1189
352,0.0984
353,0.1079
354,0.1149
355,0.1125
356,0.1068
357,0.1049
358,0.1056
359,0.1038
360,0.1049
361,0.1002
362,0.1119
363,0.1096
364,0.1138
365,0.1046
366,0.1183
367,0.11
368,0.1118
369,0.1016
370,0.1045
371,0.1053
372,0.1157
373,0.1102
374,0.1151
375,0.1094
376,0.1051
377,0.121
378,0.1071
379,0.1088
380,0.1014
381,0.1211
382,0.1116
383,0.1144
384,0.0982
385,0.0984
386,0.1129
387,0.1136
388,0.1188
389,0.1217
390,0.1144
391,0.12
392,0.1095
393,0.096
394,0.1137
395,0.0991
396,0.1051
397,0.1222
398,0.0968
399,0.1041
400,0.1055
401,0.1104
402,0.1065
403,0.096
404,0.1167
405,0.1223
406,0.1056
407,0.1127
408,0.0934
409,0.1033
410,0.1229
411,0.1262
412,0.0958
413,0.1108
414,0.1058
415,0.0938
416,0.1112
417,0.1055
418,0.1054
419,0.1069
420,0.1033
421,0.1104
422,0.0952
423,0.1006
424,0.1039
425,0.1104
426,0.1154
427,0.1083
428,0.0889
429,0.1001
430,0.1009
431,0.1031
432,0.1028
433,0.1058
434,0.122
435,0.1074
436,0.1097
437,0.1082
438,0.1165
439,0.1033
440,0.098
441,0.1085
442,0.1069
443,0.1167
444,0.0964
445,0.1133
446,0.1041
447,0.1176
448,0.097
449,0.1006
450,0.0921
451,0.1106
452,0.1075
453,0.1067
454,0.1163
455,0.0966
456,0.1089
457,0.1247
458,0.1097
459,0.1084
460,0.1022
461,0.1258
462,0.1099
463,0.1035
464,0.1119
465,0.0996
466,0.1069
467,0.1019
468,0.1062
469,0.1094
470,0.1071
471,0.1344
472,0.1066
473,0.1065
474,0.1197
475,0.1129
476,0.098
477,0.0966
478,0.1054
479,0.113
480,0.1117
481,0.0987
482,0.1061
483,0.1129
484,0.0934
485,0.1171
486,0.1235
487,0.1046
488,0.1062
489,0.1054
490,0.1084
491,0.0981
492,0.0994
493,0.1148
494,0.1026
495,0.1177
496,0.113
497,0.1064
498,0.1031
499,0.0902
500,0.1075
501,0.1086
502,0.0929
503,0.1219
504,0.117
505,0.1178
506,0.1203
507,0.1002
508,0.0952
509,0.1272
510,0.1124
511,0.1134
512,0.1058
513,0.1059
514,0.1173
515,0.0983
516,0.1168
517,0.1003
518,0.121
519,0.1015
520,0.1142
521,0.106
522,0.1111
523,0.1054
524,0.1038
525,0.1092
526,0.099
527,0.1076
528,0.1151
529,0.1082
530,0.1167
531,0.1074
532,0.1149
533,0.1007
534,0.1057
535,0.1037
536,0.1047
537,0.0929
538,0.1199
539,0.1099
540,0.1085
541,0.1136
542,0.1005
543,0.1044
544,0.1057
545,0.1103
546,0.106
547,0.1066
548,0.1044
549,0.1007
550,0.1052
551,0.1161
552,0.1181
553,0.1092
554,0.1037
555,0.0931
556,0.0989
557,0.1112
558,0.1131
559,0.1022
560,0.1148
561,0.1106
562,0.1142
563,0.1043
564,0.0988
565,0.1135
566,0.106
567,0.1138
568,0.1015
569,0.1145
570,0.1185
571,0.1175
572,0.1134
573,0.1193
574,0.1054
575,0.1038
