"Lot","Tmin","var_Tmin_CRR"
229,-2.65436068088643,0.3361
230,-2.53728301256203,0.3383
231,-2.29906810779437,0.33
232,-5.84944422857354,0.337
233,-5.96715721886159,0.3426
234,-3.55759688850922,0.3368
235,-4.59500291879762,0.3267
236,-4.81202047931858,0.3298
237,-1.1734841081981,0.3281
238,-2.21338153287577,0.3385
239,-2.89893153093822,0.331
240,-0.362302772309624,0.3279
241,-3.37428321403373,0.3348
242,-1.48831471680128,0.3335
243,0.322622099091038,0.3315
244,-2.08519990268389,0.3344
245,-3.26295240835589,0.3329
246,-2.37706995556464,0.336
247,-6.47963625210484,0.3415
248,-1.77877216899549,0.3307
249,-3.3408924281596,0.3366
250,-2.89010142051048,0.3273
251,2.27221831681112,0.3263
252,-3.43142052739893,0.337
253,-0.100867122087631,0.3337
254,-3.72516422904662,0.3336
255,-3.79899202699242,0.3348
256,0.260318078389874,0.3311
257,-1.46816312101996,0.3395
258,-0.705091801558452,0.3357
259,-4.94890939162764,0.3262
260,-3.0061579702952,0.3331
261,-0.418695816835326,0.3322
262,-5.17887470299723,0.3404
263,-2.03789949720205,0.331
264,-8.00037847870401,0.3341
265,-1.57802224883923,0.3319
266,-3.68637074889852,0.3403
267,-3.12159795638602,0.3342
268,-2.15203398285102,0.343
269,-5.91063892942916,0.329
270,-5.46585236135336,0.3307
271,-3.29525443111842,0.3331
272,-4.02259958197329,0.3314
273,0.769591203703961,0.3329
274,-1.02463311663234,0.3283
275,-4.74199657954949,0.3397
276,-5.98464142023791,0.3411
277,-5.69502547496648,0.3321
278,-0.764276460137141,0.3403
279,-2.58552360025983,0.3334
280,-3.93626088752729,0.3349
281,-5.44066389904231,0.3333
282,-4.10711132190422,0.3285
283,-3.7002714330304,0.3403
284,1.57221673445851,0.3244
285,-3.2234152461003,0.3255
286,-3.22260420344945,0.3308
287,-1.97848936517526,0.3325
288,-3.79829005000254,0.3433
289,-3.13463727617975,0.3317
290,-1.62214932824168,0.3411
291,-5.12348206538397,0.3385
292,-2.52364185800435,0.3357
293,-4.94608789873412,0.3298
294,-2.64799339109187,0.3374
295,-1.95600665116233,0.3323
296,-6.85385997645228,0.3333
297,-2.36464017791193,0.3263
298,-2.90465618030237,0.3305
299,-1.50535462497762,0.3356
300,-2.0016223715555,0.3344
301,-3.76428310783397,0.3311
302,-1.93825742858062,0.3356
303,-3.47402416915289,0.3405
304,-6.16530778331818,0.3358
305,-1.76453517281181,0.3311
306,-2.97800152122948,0.3315
307,-3.64983840607283,0.3315
308,-2.99347663630822,0.332
309,-4.48398124998877,0.3342
310,-0.348220867851079,0.3358
311,-0.175755333001318,0.3365
312,-3.20899192338536,0.3378
313,-2.74640875645407,0.3388
314,-4.15605699973578,0.3316
315,-2.01292230271307,0.3284
316,-2.63642765578117,0.3431
317,1.46838276318616,0.3244
318,-3.85356193071068,0.3315
319,-2.34406762700635,0.3343
320,-1.38197791619976,0.3242
321,-2.72537359586468,0.3281
322,-0.0311109173278776,0.3288
323,-4.39782383709998,0.3336
324,-4.64725150468847,0.3248
325,-3.16130189136807,0.3333
326,-6.24477779192622,0.3339
327,-1.1650023639163,0.3394
328,-3.8943035729301,0.3331
329,-1.41432881776072,0.3329
330,-1.44847122547549,0.3331
331,-0.795088478823279,0.3367
332,-6.97574768149224,0.3323
333,-1.70436047164973,0.3389
334,-2.28220022216387,0.333
335,-3.20505399499338,0.3265
336,-1.29374623650179,0.3331
337,-1.44225627417146,0.3353
338,-2.24822739176713,0.3319
339,-5.00053039495786,0.3414
340,-3.714656865089,0.3324
341,-3.20175645365527,0.3355
342,0.294563746636816,0.3264
343,-2.45263247013173,0.3311
344,-6.02733910896026,0.3372
345,-1.21623791369449,0.3308
346,-1.4565895005294,0.332
347,-3.99344723587818,0.3326
348,-4.62264067486324,0.3362
349,-6.79886605617247,0.3352
350,-0.384698157494157,0.3338
351,-3.38954317088417,0.3299
352,-3.13768323501502,0.3336
353,-2.79373875470488,0.3372
354,-4.84194919915085,0.3388
355,-1.30179397948035,0.3364
356,-3.78857019492183,0.3348
357,-3.49005627318784,0.3322
358,-1.23404388762738,0.3295
359,0.895068846646241,0.3341
360,-3.75653386606798,0.335
361,-6.12299694011118,0.3274
362,0.286792278911899,0.3342
363,-2.46249616347648,0.3374
364,-6.9337696785889,0.3405
365,-5.01382025043655,0.3352
366,2.91835467224459,0.3219
367,-2.69296872024999,0.3333
368,-2.96863993664232,0.3375
369,-1.4986843486037,0.3271
370,-4.45863772000955,0.3323
371,-2.25827854484906,0.3347
372,-0.609389901466094,0.3364
373,-3.32708171005812,0.3363
374,-4.00172081462824,0.3372
375,-2.14359946038642,0.3281
376,-0.951307430781926,0.334
377,-6.40579868247443,0.3347
378,-0.1352259189755,0.3333
379,-0.575493571117024,0.3358
380,-3.6143128074057,0.3349
381,-3.92558266395431,0.3332
382,-0.719750201542596,0.3349
383,-4.79259349896616,0.3337
384,-4.25423222949284,0.3373
385,-4.32016472831486,0.3327
386,-2.75343247579603,0.3337
387,-1.90628266261459,0.3376
388,-1.40100931903543,0.3299
389,-4.05034213296249,0.3253
390,-2.36997853360324,0.3284
391,-2.07688820062562,0.339
392,-7.35152764926585,0.3295
393,-4.95782217177476,0.335
394,-3.88496427726166,0.3359
395,-2.59461535741418,0.3387
396,-0.747876296065296,0.3311
397,0.0464815379423076,0.339
398,-4.13729381677651,0.3251
399,-3.64409837055503,0.3392
400,-0.730064631223506,0.332
401,-2.44283621327315,0.3479
402,-4.74526231628785,0.3315
403,-1.85779349394043,0.3408
404,-3.72387349951364,0.3429
405,-5.18943399062901,0.3386
406,-3.5050188843098,0.3425
407,-1.42893482088305,0.3283
408,-5.60595369677787,0.3373
409,1.12343325653549,0.3246
410,-4.23546522958221,0.3439
411,-3.70969668665453,0.3373
412,-4.16783769283637,0.3324
413,-6.46055260265879,0.3394
414,1.996201976076,0.3208
415,-3.10395467356367,0.3342
416,-2.24056239458473,0.3397
417,-6.07884826018843,0.3329
418,-2.55808123266471,0.3293
419,-4.39039037389584,0.3418
420,-0.858138489319945,0.337
421,-4.57854811033799,0.3346
422,-2.4704009140154,0.3311
423,-4.29470321249077,0.3349
424,-2.61278275021395,0.3314
425,-3.28802163111104,0.3332
426,-3.45836408572571,0.3417
427,-0.328667164588926,0.3338
428,-3.65912722500142,0.3337
429,-2.73932479249906,0.3345
430,-1.80185733064425,0.3286
431,-0.305820756510562,0.3309
432,-4.27580585852694,0.341
433,-3.68016874482845,0.3351
434,-1.79600693693531,0.3321
435,-2.20936723302407,0.3309
436,-2.04580894184358,0.3395
437,-5.16521364910864,0.3326
438,-3.23901607679844,0.3353
439,-0.562095974093142,0.3334
440,-2.53207514466747,0.3351
441,-2.38165390360966,0.3338
442,-2.37404380997246,0.323
443,-6.53486702702038,0.3415
444,-2.31363034560332,0.3334
445,-3.25357588432549,0.3392
446,-3.06614699862869,0.3322
447,1.03405473148836,0.3234
448,-8.34243950073743,0.3416
449,-2.48072938773293,0.3361
450,-1.89506953116187,0.3302
451,-6.62386347505924,0.3373
452,-1.23160206841853,0.3366
453,-0.445912101453895,0.3288
454,-4.01688817507755,0.337
455,-1.65323351784117,0.336
456,-2.19836855629157,0.3326
457,-3.51552703305279,0.3301
458,-2.56960681023311,0.3324
459,-2.64361166447104,0.3405
460,-3.07611976138354,0.3333
461,-3.33031629927095,0.3338
462,-2.22592734797598,0.3434
463,-1.36116499213468,0.332
464,-0.233138033082989,0.3291
465,-5.27227235283233,0.3307
466,-0.883292988180056,0.3266
467,1.82692336609903,0.3342
468,-4.10281117523822,0.3434
469,-2.99823677585536,0.3335
470,-6.69218468002953,0.329
471,-0.425664348728948,0.3418
472,-2.81007326899812,0.3352
473,-1.01594191707184,0.3361
474,0.793089860480986,0.3242
475,-3.40105171643295,0.3294
476,-3.56023749771791,0.3408
477,-5.8726648262367,0.338
478,-1.40608471683875,0.3377
479,-2.84759478760079,0.3408
480,-5.82603067843035,0.3374
481,-4.93554318756978,0.33
482,-3.75390703704682,0.3313
483,-1.29417680601545,0.3331
484,-3.0830035258675,0.3271
485,-3.36442239429757,0.3382
486,-3.86894840716093,0.3344
487,-1.63953189136518,0.3425
488,-1.9205464882186,0.3403
489,-3.87951761418227,0.343
490,-1.77248998631153,0.3294
491,0.0219109894388523,0.3348
492,-2.67870709210982,0.3354
493,-4.98828020538115,0.3364
494,-2.3369442949345,0.329
495,-1.27773106593848,0.339
496,-5.10186007065894,0.3373
497,-3.30100344628193,0.3368
498,-3.34580047623802,0.3349
499,-5.50284144761581,0.334
500,-0.154145751109233,0.3315
501,-2.86736678877734,0.3306
502,-4.73057414946214,0.3389
503,-2.9815989363847,0.3371
504,-1.84790005882616,0.3409
505,-4.78236852950883,0.3381
506,-2.68708105592264,0.3355
507,-3.6165215878891,0.3364
508,-4.6006908455372,0.3387
509,-1.82821420393752,0.3258
510,-1.98505689309782,0.3383
511,-3.17618940824733,0.3341
512,-4.50029052851145,0.3346
513,-3.18332152691421,0.345
514,-0.837357892238976,0.337
515,-5.73902935604806,0.3254
516,-5.9944929344403,0.3289
517,-0.216174843840591,0.333
518,-2.98910265493934,0.3379
519,-1.37405655629095,0.3418
520,-2.77939196778065,0.3335
521,-2.13917679098694,0.3329
522,-3.04361837996881,0.3315
523,-0.880462742319864,0.3339
524,-3.54319856744616,0.3336
525,-2.4284791811443,0.3308
526,0.358250463871844,0.3312
527,-1.33098381798159,0.3347
528,-3.35833374543627,0.3368
529,-4.88618206337721,0.3323
530,-0.110587565865114,0.336
531,-1.89201518323656,0.3407
532,-6.38662265520616,0.3374
533,-4.20774835348329,0.3364
534,-2.4013449872818,0.335
535,-2.46688598929852,0.329
536,-1.27351650284716,0.3351
537,-4.23118091916827,0.3291
538,-3.84516161159976,0.3324
539,-0.924435082043014,0.3277
540,-0.869215533231178,0.333
541,-3.01900680165689,0.3326
542,-0.95712903380268,0.3349
543,-3.26699888596166,0.3311
544,-1.1629094134568,0.3288
545,-5.27986125234807,0.3342
546,-5.69743163229024,0.3376
547,1.73199220239512,0.3256
548,-4.57125652320773,0.3358
549,-7.83150279038902,0.3414
550,-2.43889549376948,0.3398
551,-3.15629217584827,0.3312
552,-3.82752250391695,0.3426
553,-5.33646797330726,0.3401
554,-1.14340009568191,0.338
555,-4.76524494475592,0.3377
556,-3.74107472149692,0.3406
557,0.684915102757038,0.3262
558,-7.18195858759174,0.3298
559,-2.71732357473129,0.3375
560,0.160195077787856,0.3263
561,-0.648242749233824,0.332
562,-4.07984587766513,0.3327
563,-1.58875809502317,0.3322
564,-2.12667171915665,0.336
565,-0.475088629004317,0.3423
566,-2.62142350946737,0.3384
567,-3.77270726735683,0.3383
568,-2.98377370522619,0.3275
569,-2.84245403121762,0.3392
570,-4.87729727109129,0.3373
571,-2.49135593852425,0.3346
572,-1.5278450091271,0.3339
573,-1.47803466022127,0.3369
574,-3.27886161612475,0.3362
575,-1.87223072694742,0.3374
576,-1.81457395087211,0.3384
577,-1.51198986088491,0.3325
578,-2.8764540750409,0.3334
579,-2.88070742363942,0.3369
580,-1.06173276165181,0.3327
581,-3.24236478553937,0.3397
582,-3.53440016362594,0.3273
583,-1.07437834314913,0.3341
584,-5.40318226185228,0.3351
585,-0.532634758741368,0.3372
586,-2.23275457872523,0.3393
587,-5.25925590473393,0.3344
588,-3.73220614881334,0.3395
589,-3.44113992146824,0.3414
590,-3.12779304438233,0.3398
591,-4.36787252207256,0.33
592,-2.38741088360745,0.3269
593,-4.29693214805896,0.3399
594,-0.98718086780194,0.3337
595,-4.08683045649578,0.3401
596,-3.37995561391204,0.3377
597,-4.7233081579187,0.3327
598,-2.27713988372545,0.3352
599,-1.93430270890559,0.3405
600,-0.00938251251450861,0.3422
601,-2.45705029291832,0.3265
602,1.38994514969083,0.3256
603,-3.29886518960339,0.3328
604,-3.10235055697988,0.3335
605,-5.05597427002379,0.3293
606,-5.08690578415499,0.3338
607,-3.98487365418883,0.337
608,-1.99143147275601,0.338
609,-2.39955663022172,0.3491
610,-4.61878255361351,0.3275
611,-2.3039484810212,0.3277
612,-2.55990340277477,0.346
613,-4.35157662043781,0.3375
614,-3.30665018299029,0.3309
615,-4.45230448723036,0.3376
616,-2.09052974517787,0.3269
617,-1.09836568144001,0.3368
618,-1.6592922607012,0.336
619,-1.46250910233237,0.34
620,-2.41986379081035,0.3268
621,-3.11049263925843,0.3369
622,-4.85099540359974,0.3376
623,-6.2175378585521,0.3311
624,-5.51718801835392,0.3338
625,-7.02094908312241,0.3428
626,-2.94950340599354,0.3345
627,0.97390440199668,0.3175
628,-1.75619856922084,0.3423
629,3.80465190237463,0.3193
630,0.540989746368558,0.3302
631,-5.0821163254431,0.3372
632,-1.59113393424877,0.3407
633,-4.97974052092544,0.3436
634,-0.69135256486709,0.3285
635,-7.09981399971515,0.322
636,-1.84294372346514,0.3363
637,-2.80584637797594,0.3318
638,0.71467249346643,0.3411
639,-6.55554139776509,0.3321
640,-4.63048109497372,0.3326
641,0.841949021277458,0.3325
642,-3.94109532769451,0.3307
643,-4.14483407533938,0.3305
644,-2.33453410152093,0.3179
645,-1.31477021801449,0.3377
646,-3.36256256867643,0.3357
647,-4.14899445949865,0.329
648,-4.41928900025502,0.3291
649,-2.17290672770761,0.3376
650,-2.06385500218459,0.3341
651,-5.71225967770226,0.3373
652,-6.23188386738252,0.3337
653,-8.28454117940236,0.3347
654,-4.28348724447139,0.345
655,-2.13375612926393,0.3356
656,0.520538605810746,0.3232
657,-4.26335392398593,0.3285
658,-1.04336286168079,0.3271
659,-3.33558812321026,0.3336
660,-3.04842973629471,0.3344
661,-2.76770587164095,0.3451
662,-3.14153012035182,0.334
663,-1.52183586355703,0.3372
664,0.94056479776645,0.3321
665,-4.28281058470435,0.3294
666,-4.12929891632979,0.3349
667,-5.36620163146639,0.3267
668,-2.70549910588027,0.3314
669,-0.81053495852922,0.3346
670,-4.00458611284606,0.3318
671,-4.09890847909688,0.3355
672,-3.83312547675142,0.3372
673,-2.18512164349297,0.3292
674,-1.12330172055457,0.3323
675,-0.201076820767503,0.3355
676,-2.8550442100716,0.3434
677,-3.11463303219582,0.3336
678,0.615968001776012,0.3297
679,-2.1023381814149,0.3399
680,-3.25122420802109,0.3305
681,-4.35501953303776,0.3291
682,-1.8224717221859,0.3289
683,-7.22652506944421,0.3388
684,-2.55488534074124,0.3365
685,-2.03199762094055,0.3485
686,-6.67188909403504,0.3463
687,-2.8262455120286,0.3286
688,-2.67110926547599,0.3377
689,-1.60864251377331,0.3371
690,-5.53234505285718,0.3356
691,-0.63020965040809,0.3386
692,-1.64351866048242,0.3363
693,-4.21376744542743,0.3298
694,-4.59032257224227,0.3355
695,-5.20130993855485,0.3306
696,-4.34618259649605,0.3379
697,-2.95766094074862,0.3328
698,-0.594729081680001,0.3373
699,-4.01171830786579,0.3356
700,-2.97013457614436,0.3361
701,-1.24384080913599,0.3292
702,-2.10526382499937,0.3376
703,-2.20222417694778,0.3274
704,-2.54679658177682,0.3335
705,-3.21639721879614,0.3372
706,-4.43448945914313,0.3418
707,-3.46713117793846,0.3297
708,-2.81812511527009,0.3323
709,-3.90967416045839,0.3371
