"Lot","prev","unc_prev_CRR"
1,0.0413032226219886,0.3421
2,0.0435506400869065,0.3555
3,0.0346092426442725,0.2997
4,0.0390500810598757,0.318
5,0.0383984179458214,0.3248
6,0.0402327834362897,0.3283
7,0.0360486158720863,0.3102
8,0.0379448392599533,0.3227
9,0.0379738182766484,0.3196
10,0.0414134020341129,0.3407
11,0.0399684318451448,0.3267
12,0.0423227734447197,0.3469
13,0.0510175639469269,0.4016
14,0.0454179022835036,0.3709
15,0.0422417172952803,0.346
16,0.0379864698211738,0.3225
17,0.0442010916576636,0.3628
18,0.0349777172816959,0.2943
19,0.0470706970800614,0.3752
20,0.0370589940764161,0.3107
21,0.0433399872943564,0.3543
22,0.0445508171368837,0.3609
23,0.0376107614460638,0.3187
24,0.0459019695661118,0.3737
25,0.0389725741341093,0.3269
26,0.033363676162975,0.2838
27,0.0422040599123191,0.3487
28,0.0371156414523841,0.3129
29,0.0387611473430691,0.3215
30,0.0446851156025326,0.3688
31,0.044062336822092,0.3559
32,0.0436705805934653,0.3652
33,0.0401539968811119,0.3272
34,0.0414906133735615,0.3446
35,0.0411038307596643,0.3394
36,0.0412758711823058,0.3418
37,0.0337631195160499,0.2819
38,0.0373692306929362,0.3157
39,0.0344401437743567,0.2999
40,0.0375314109147041,0.3222
41,0.0380101816312632,0.3171
42,0.0448579561810933,0.3696
43,0.0424885631256592,0.3518
44,0.0396331213830086,0.3395
45,0.0314827462070056,0.2706
46,0.0407999800011115,0.3497
47,0.0410289119916241,0.3387
48,0.035419479955945,0.2993
49,0.0475947357130565,0.3919
50,0.0400433940636928,0.3385
51,0.0446414731663605,0.3532
52,0.0400733943109104,0.3271
53,0.0439095492112338,0.3578
54,0.0371953590800682,0.3154
55,0.0366707726156802,0.3142
56,0.031844292320548,0.2702
57,0.0432084153301003,0.3609
58,0.0428033584484477,0.3448
59,0.0409232784089154,0.3384
60,0.0454655242890004,0.3619
61,0.0358633276290903,0.3018
62,0.0383243854337253,0.3265
63,0.0426415131096025,0.3445
64,0.0417948913888851,0.3389
65,0.0339023166280257,0.2847
66,0.0347149878835706,0.2962
67,0.0373224271682227,0.3165
68,0.0362448785890943,0.3049
69,0.0419564022133172,0.3434
70,0.0380826429667383,0.3116
71,0.038602586944133,0.3223
72,0.0347987718331125,0.2954
73,0.0419228436161799,0.3423
74,0.0408888511099457,0.3413
75,0.0371596136596939,0.3225
76,0.0406741238687008,0.3387
77,0.0446135451865174,0.3638
78,0.0444738528393988,0.3638
79,0.0415351362394588,0.344
80,0.0412352458008667,0.3405
81,0.0424457200496497,0.3519
82,0.0410861862049651,0.3443
83,0.0365215066432191,0.3141
84,0.0423945934613946,0.3492
85,0.0471289762238276,0.3835
86,0.0503528935717645,0.4018
87,0.0367566486250525,0.3212
88,0.0402239193000345,0.3306
89,0.0388026709499444,0.3227
90,0.0429716520303117,0.3551
91,0.0421467615951547,0.3484
92,0.0456481888521713,0.3763
93,0.0406088724161866,0.3351
94,0.0425788756368839,0.3463
95,0.0370794984058684,0.3146
96,0.0452051968576219,0.3746
97,0.0433063693590464,0.3528
98,0.0458805837149907,0.371
99,0.0438753645662499,0.3573
100,0.0404392578268704,0.343
101,0.0465653026234234,0.3771
102,0.0386176496748704,0.3303
103,0.0382892153466153,0.3144
104,0.038603991146195,0.3242
105,0.0352581234006343,0.2989
106,0.0435394986425673,0.3666
107,0.0442322626914393,0.368
108,0.0389421239871982,0.3323
109,0.0356709816886633,0.2963
110,0.0397734722150932,0.3323
111,0.0367299207149508,0.3001
112,0.0383551144698853,0.3219
113,0.0399055067988288,0.331
114,0.036270321268752,0.3093
115,0.041052442710779,0.3443
116,0.0353759528803324,0.3054
117,0.0363499900140618,0.305
118,0.0342670567412732,0.2932
119,0.0444417089945374,0.3644
120,0.0443353318528816,0.3605
121,0.0405068524867536,0.3426
122,0.0429195340313475,0.3551
123,0.042994492016582,0.3582
124,0.0419700957509291,0.3474
125,0.0363640906735768,0.3023
126,0.0366355333247281,0.3114
127,0.0356863461591684,0.3048
128,0.042219893598116,0.3457
129,0.0405459884609207,0.3401
130,0.0346951454007243,0.2908
131,0.0387292206604112,0.3219
132,0.0365084442410066,0.3141
133,0.0434854777484633,0.3578
134,0.0450475807479518,0.3606
135,0.0389986373903514,0.3266
136,0.0407885752130127,0.3452
137,0.046262407475292,0.3695
138,0.0407634848068295,0.3374
139,0.0369937755235283,0.3141
140,0.0437162880980111,0.3589
141,0.0397471585382023,0.3373
142,0.0386746721979352,0.3195
143,0.0350721307503263,0.2965
144,0.0388896208349576,0.3315
145,0.0316842621131214,0.2684
146,0.0412493010515562,0.3403
147,0.040260936594513,0.3303
148,0.0378492750223302,0.326
149,0.0395134915368061,0.3257
150,0.0405135591065532,0.3431
151,0.0355443642263073,0.3016
152,0.0420178766015543,0.3483
153,0.0351225566801235,0.2958
154,0.0398918850462716,0.3397
155,0.0418606696358702,0.3461
156,0.036969226400155,0.319
157,0.044298858239913,0.3595
158,0.0485401298286899,0.3822
159,0.0392667491311541,0.3317
160,0.0407502554427214,0.341
161,0.037597269478199,0.3109
162,0.0385718095369529,0.3208
163,0.0350947180893898,0.3015
164,0.0447003440365769,0.3648
165,0.0425157970768498,0.3471
166,0.0380483512888007,0.3171
167,0.0338372559165316,0.2841
168,0.0350099051632177,0.2859
169,0.0392083855260725,0.3331
170,0.0386846600519809,0.3269
171,0.0411978418225484,0.3431
172,0.0359069855333812,0.3115
173,0.0349463240594568,0.3009
174,0.0459575714157414,0.3755
175,0.0407407149038032,0.3436
176,0.040308361311701,0.3341
177,0.0373084894719393,0.322
178,0.0388112606648813,0.3317
179,0.0338198575251169,0.2909
180,0.0403655631034366,0.3302
181,0.0413972425319049,0.3397
182,0.0430201573557596,0.3536
183,0.0399981617242114,0.3305
184,0.0380062838990898,0.3165
185,0.0357274069003163,0.3074
186,0.0469841549729818,0.3778
187,0.0344776813754183,0.2908
188,0.0370054386790102,0.319
189,0.0364278320696379,0.3026
190,0.0467593383446696,0.3806
191,0.0385302684897845,0.3272
192,0.0460403354224996,0.3741
193,0.0466708412010471,0.3736
194,0.0407571941452004,0.33
195,0.0377210566322599,0.3107
196,0.0369429425610667,0.3143
197,0.040555715469907,0.3487
198,0.0430180244751389,0.3599
199,0.0425636387723312,0.3476
200,0.0424574780295111,0.3507
201,0.0407252592280712,0.3436
202,0.0416296782830411,0.3407
203,0.0405641464658717,0.3393
204,0.0360217248459318,0.3057
205,0.0462224817630941,0.3758
206,0.0423403674808058,0.3519
207,0.0360988220400745,0.314
208,0.0370262084844083,0.3169
209,0.0395190770636677,0.3303
210,0.0409679732554339,0.3412
211,0.0406011961802326,0.334
212,0.0378813184910774,0.3228
213,0.0466505467938174,0.3716
214,0.041158257531421,0.3502
215,0.0440234934078331,0.3549
216,0.0351327127089472,0.2976
217,0.0341015452935206,0.2911
218,0.0397017513150735,0.339
219,0.0369293932568333,0.3136
220,0.0388562986468721,0.3252
221,0.0417528562009585,0.3465
222,0.0386297914788292,0.3251
223,0.0447287861929847,0.3604
224,0.0388686293857093,0.3309
225,0.0371762979270128,0.3165
226,0.0438232402953117,0.359
227,0.0375807332950676,0.3091
228,0.0401196143499634,0.3353
229,0.0404590896003395,0.3418
230,0.0406842106690807,0.3378
231,0.0411447203707747,0.3429
232,0.0346207107948273,0.2974
233,0.0344167630209104,0.296
234,0.03874904487792,0.3152
235,0.0368430938086761,0.3076
236,0.0364521987469697,0.3074
237,0.0433654520270671,0.3601
238,0.0413111750208163,0.3399
239,0.0399913893421766,0.3274
240,0.045011915012248,0.3628
241,0.0390922816373941,0.3195
242,0.0427368408635053,0.3581
243,0.0464322838625798,0.3812
