"Lot","temp","var_temp_CRR"
1,4.66139911140498,0.3309
2,5.12363057358387,0.3307
3,3.1811224055965,0.3383
4,4.18162871151988,0.3397
5,4.03957606218698,0.3369
6,4.43560784832171,0.333
7,3.51406366948598,0.3267
8,3.93978605286351,0.3394
9,3.9461844862247,0.3376
10,4.68442706980863,0.3329
11,4.37925850256612,0.3355
12,4.87301924708464,0.3365
13,6.55960740447573,0.3389
14,5.49633577486979,0.3257
15,4.85631428691989,0.3392
16,3.94897690342264,0.3359
17,5.25458311859029,0.3226
18,3.26719859082493,0.3348
19,5.81828460775402,0.3355
20,3.74265681294761,0.3312
21,5.08095627164467,0.3343
22,5.32448999878624,0.3375
23,3.86579491699462,0.3323
24,5.59137696349205,0.3314
25,4.16481348390512,0.3376
26,2.88565269718336,0.3312
27,4.84854651323071,0.3314
28,3.75535309052444,0.3278
29,4.11883481627545,0.3347
30,5.35124316724839,0.3378
31,5.22675074481827,0.3321
32,5.14787003485439,0.336
33,4.41883846628242,0.335
34,4.70054134704856,0.3329
35,4.61962578397815,0.3318
36,4.6556764916074,0.3374
37,2.98118070767301,0.3395
38,3.81203681026852,0.3392
39,3.14142081413817,0.3384
40,3.84815828288492,0.3416
41,3.95420890293953,0.3335
42,5.38559982790364,0.3363
43,4.90712396459557,0.3279
44,4.30743968762496,0.3359
45,2.42544549177875,0.3264
46,4.55571902984994,0.3334
47,4.6038966848713,0.3344
48,3.36962098621261,0.3309
49,5.91888329307675,0.3304
50,4.39526162414747,0.3338
51,5.34255485469028,0.3378
52,4.40166078731022,0.3282
53,5.19603957183974,0.3279
54,3.77319889235883,0.3291
55,3.65530622128732,0.3357
56,2.51528111744012,0.3329
57,5.05423571482922,0.3317
58,4.97164937343563,0.3318
59,4.58168793707594,0.3404
60,5.50571392762117,0.3418
61,3.4716945645218,0.3245
62,4.02334042868143,0.3282
63,4.93851269340369,0.3409
64,4.76386027942672,0.3329
65,3.01429644305785,0.3228
66,3.20588543599206,0.329
67,3.80159373639457,0.3373
68,3.55878863320083,0.3361
69,4.79735103126087,0.3427
70,3.97018445714959,0.3405
71,4.08424719003473,0.3382
72,3.22547079744096,0.3289
73,4.79039909591082,0.3329
74,4.57444193939266,0.3217
75,3.76519988295975,0.3252
76,4.52915977551457,0.3305
77,5.33699216210457,0.3357
78,5.30913529540896,0.3337
79,4.7098247573363,0.3357
80,4.64717216803202,0.3377
81,4.89831877966804,0.3365
82,4.61592297707359,0.3352
83,3.6215620046058,0.335
84,4.88780377589881,0.3364
85,5.82950678038726,0.333
86,6.43731908022183,0.3436
87,3.67467977967086,0.3287
88,4.43372220250021,0.3331
89,4.12787756942295,0.3297
90,5.00602225378518,0.3342
91,4.8367188670396,0.3293
92,5.54162880384907,0.3321
93,4.51536921613045,0.3379
94,4.9256667348597,0.3341
95,3.74725385851033,0.3263
96,5.45437235548218,0.3309
97,5.07413378870077,0.3371
98,5.5871913996554,0.3261
99,5.18915903990845,0.3337
100,4.47945578879925,0.3367
101,5.72060023950103,0.3357
102,4.08753682072205,0.3356
103,4.01562042011463,0.3315
104,4.08455389610571,0.3293
105,3.33230733821959,0.3366
106,5.12137679646783,0.3355
107,5.26082803446701,0.3255
108,4.15820141689729,0.3369
109,3.42756117101134,0.3377
110,4.33754798382543,0.3402
111,3.66865312407334,0.3339
112,4.03008187738213,0.3353
113,4.36581028826768,0.338
114,3.56457509555723,0.3322
115,4.60883889802219,0.3401
116,3.35956626061761,0.3372
117,3.58267728231957,0.3335
118,3.10065105351554,0.336
119,5.30271750861865,0.3376
120,5.28145755242197,0.3315
121,4.49377947407839,0.3394
122,4.99538661058348,0.3352
