"Lot","WI_Nisin20_CRR"
1,0.0127
2,0.0096
3,0.0126
4,0.0171
5,0.0182
6,0.0179
7,0.0199
8,0.0129
9,0.0199
10,0.0171
11,0.0195
12,0.0215
13,0.0147
14,0.0132
15,0.019
16,0.0244
17,0.0148
18,0.0138
19,0.0169
20,0.0145
21,0.0157
22,0.0182
23,0.0169
24,0.0173
25,0.0263
26,0.0158
27,0.0192
28,0.015
29,0.0148
30,0.0263
31,0.0217
32,0.0134
33,0.0147
34,0.0135
35,0.0178
36,0.0158
37,0.0166
38,0.0232
39,0.0158
40,0.0214
41,0.0205
42,0.0167
43,0.0197
44,0.0221
45,0.0169
46,0.0153
47,0.014
48,0.0153
49,0.015
50,0.018
51,0.0185
52,0.0184
53,0.0128
54,0.0161
55,0.0219
56,0.0166
57,0.0155
58,0.0141
59,0.0123
60,0.0251
61,0.0148
62,0.0136
63,0.0143
64,0.0158
65,0.0176
66,0.0203
67,0.0174
68,0.0166
69,0.0192
70,0.0149
71,0.0157
72,0.0259
73,0.0191
74,0.0122
75,0.0119
76,0.015
77,0.0209
78,0.0161
79,0.0224
80,0.0162
81,0.0112
82,0.0176
83,0.017
84,0.0232
85,0.0153
86,0.0186
87,0.0151
88,0.0165
89,0.0193
90,0.0211
91,0.0181
92,0.0122
93,0.0208
94,0.013
95,0.0158
96,0.0188
97,0.0164
98,0.0194
99,0.0229
100,0.0175
101,0.0132
102,0.0224
103,0.0283
104,0.0147
105,0.0143
106,0.0261
107,0.0226
108,0.0186
109,0.0181
110,0.0193
111,0.0141
112,0.0152
113,0.018
114,0.0251
115,0.0184
116,0.0181
117,0.017
118,0.0227
119,0.0177
120,0.013
121,0.0203
122,0.0202
123,0.012
124,0.021
125,0.0131
126,0.0198
127,0.0179
128,0.0182
129,0.0154
130,0.0144
131,0.0161
132,0.0231
133,0.024
134,0.0178
135,0.0274
136,0.017
137,0.0165
138,0.0126
139,0.0192
140,0.021
141,0.0159
142,0.0219
143,0.0218
144,0.0171
145,0.0211
146,0.0191
147,0.0167
148,0.0188
149,0.0193
150,0.0108
151,0.0225
152,0.0198
153,0.0248
154,0.0135
155,0.0129
156,0.0212
157,0.0185
158,0.0239
159,0.0179
160,0.0143
161,0.0156
162,0.012
163,0.0185
164,0.0197
165,0.0155
166,0.0206
167,0.0171
168,0.0179
169,0.0144
170,0.0199
171,0.0203
172,0.0158
173,0.0178
174,0.0142
175,0.014
176,0.0169
177,0.0176
178,0.0188
179,0.0169
180,0.0174
181,0.0099
182,0.0154
183,0.0131
184,0.018
185,0.0172
186,0.0214
187,0.0167
188,0.023
189,0.0142
190,0.0142
191,0.0115
192,0.0135
193,0.0233
194,0.016
195,0.0149
196,0.0254
197,0.0112
198,0.0207
199,0.0159
200,0.0114
201,0.02
202,0.0191
203,0.0113
204,0.0222
205,0.014
206,0.0225
207,0.0164
208,0.015
209,0.018
210,0.0121
211,0.0116
212,0.0167
213,0.0219
214,0.0154
215,0.0205
216,0.0171
217,0.0218
218,0.0124
219,0.0182
220,0.0147
221,0.0271
222,0.0155
223,0.0172
224,0.0174
225,0.0145
226,0.0199
227,0.0145
228,0.012
229,0.0236
230,0.0223
231,0.0141
232,0.0179
233,0.0181
234,0.0181
235,0.0143
236,0.0158
237,0.0171
238,0.0126
239,0.0224
240,0.0172
241,0.015
242,0.0154
243,0.0212
244,0.0139
245,0.0204
246,0.016
247,0.013
248,0.0124
249,0.0176
250,0.0172
251,0.0187
252,0.014
253,0.0185
254,0.0189
255,0.0181
256,0.0136
257,0.0211
258,0.0231
259,0.0189
260,0.0175
261,0.017
262,0.0199
263,0.0156
264,0.0185
265,0.0153
266,0.0146
267,0.0179
268,0.0264
269,0.0149
270,0.0177
271,0.0191
272,0.0115
273,0.0188
274,0.0118
275,0.0237
276,0.0186
277,0.0158
278,0.0323
279,0.0153
280,0.0213
281,0.0235
282,0.0211
283,0.024
284,0.0161
285,0.0122
286,0.015
287,0.022
288,0.0186
289,0.0104
290,0.0197
291,0.0196
292,0.016
293,0.0217
294,0.0221
295,0.016
296,0.0182
297,0.0139
298,0.0096
299,0.0177
300,0.0152
301,0.0162
302,0.015
303,0.016
304,0.0208
305,0.0094
306,0.0183
307,0.0144
308,0.0157
309,0.0175
310,0.0146
311,0.0139
312,0.0177
313,0.0141
314,0.0174
315,0.0119
316,0.0202
317,0.0173
318,0.0195
319,0.0158
320,0.0206
321,0.022
322,0.0186
323,0.0198
324,0.0123
325,0.0175
326,0.0165
327,0.0213
328,0.0113
329,0.0198
330,0.0199
331,0.0189
332,0.019
333,0.0197
334,0.0231
335,0.0151
336,0.0147
337,0.0116
338,0.0159
339,0.0199
340,0.0147
341,0.0188
342,0.0196
343,0.0179
344,0.0088
345,0.0247
346,0.0211
347,0.0238
348,0.0206
349,0.0203
350,0.0149
351,0.0167
352,0.0161
353,0.0152
354,0.017
355,0.0215
356,0.0137
357,0.0137
358,0.0149
359,0.0196
360,0.0132
361,0.0168
362,0.0198
363,0.0167
364,0.0191
365,0.0169
366,0.0149
367,0.0177
368,0.0161
369,0.0165
370,0.0114
371,0.0164
372,0.0185
373,0.0167
374,0.0212
375,0.023
376,0.015
377,0.0215
378,0.015
379,0.0189
380,0.0171
381,0.0193
382,0.0201
383,0.0211
384,0.0154
385,0.0231
386,0.0175
387,0.0172
388,0.0207
389,0.0183
390,0.0191
391,0.0167
392,0.018
393,0.0106
394,0.0158
395,0.0205
396,0.0176
397,0.0209
398,0.0111
399,0.0198
400,0.0157
401,0.0159
402,0.0185
403,0.0169
404,0.0224
405,0.0193
406,0.0195
407,0.02
408,0.013
409,0.0237
410,0.0169
411,0.011
412,0.013
413,0.0133
414,0.0161
415,0.0114
416,0.0221
417,0.0186
418,0.0097
419,0.019
420,0.0172
421,0.0142
422,0.0148
423,0.011
424,0.0199
425,0.0243
426,0.0147
427,0.0181
428,0.0158
429,0.0093
430,0.0157
431,0.0218
432,0.0165
433,0.0137
434,0.0176
435,0.0213
436,0.0204
437,0.0185
438,0.0202
439,0.0149
440,0.0129
441,0.0196
442,0.0195
443,0.0179
444,0.0163
445,0.0171
446,0.0198
447,0.0158
448,0.0154
449,0.019
450,0.0156
451,0.0148
452,0.0162
453,0.0187
454,0.0205
455,0.0166
456,0.0279
457,0.0228
458,0.0158
459,0.0138
460,0.0175
461,0.0174
462,0.0215
463,0.012
464,0.017
465,0.0146
466,0.0198
467,0.0197
468,0.0188
469,0.0191
470,0.0204
471,0.0203
472,0.0151
473,0.0266
474,0.0157
475,0.0131
476,0.0097
477,0.0124
478,0.0146
479,0.0169
480,0.0148
481,0.0183
482,0.0108
483,0.0239
484,0.0175
485,0.0176
486,0.0197
487,0.0166
488,0.0141
489,0.0201
490,0.0167
491,0.0197
492,0.0222
493,0.0099
494,0.0141
495,0.0145
496,0.0156
497,0.0151
498,0.0149
499,0.012
500,0.0155
501,0.0167
502,0.019
503,0.0158
504,0.0145
505,0.0193
506,0.0211
507,0.0136
508,0.0184
509,0.0194
510,0.0195
511,0.0155
512,0.0168
513,0.0148
514,0.0174
515,0.0223
516,0.0219
517,0.0171
518,0.021
519,0.015
520,0.0215
521,0.015
522,0.0149
523,0.0165
524,0.0165
525,0.0202
526,0.0139
527,0.019
