Observation,mumax_25C
1,3.308998636
2,3.125165379
3,4.779664696
4,2.757498863
5,6.434164014
6,2.941332121
7,6.801830529
8,3.860498408
9,5.147331211
10,3.125165378
11,2.022165833
12,1.286832803
13,13.4198278
14,10.20274579
15,4.779664696
