Observation,Strain,Lineage,Serotype,Source,Condition,Phase,Nisin,Temperature,Replicate,Age,Date,Day,Inoculum,Log_CFU,Log_Diff,AgeGroup,Native_Microbiota
193,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Plus,7,2,33,11/30/18,15,6.11,6.72,0.61,NaCl2,4.7
194,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Plus,7,2,33,11/30/18,15,6.02,7.19,1.17,NaCl2,5.83
195,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Plus,7,2,33,11/30/18,15,6.17,6.86,0.69,NaCl2,4.7
196,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Plus,7,2,33,11/30/18,15,6.09,7.58,1.49,NaCl2,5.88
197,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Plus,7,2,33,11/30/18,15,6,5.71,-0.29,NaCl2,4.7
198,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Plus,7,2,33,11/30/18,15,6.13,8.29,2.16,NaCl2,5.7
199,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Minus,7,2,33,11/30/18,15,6.11,9.1,2.99,NaCl2,6.7
200,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Minus,7,2,33,11/30/18,15,6.02,9.02,3,NaCl2,6.7
201,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Minus,7,2,33,11/30/18,15,6.17,9.26,3.09,NaCl2,6.7
202,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Minus,7,2,33,11/30/18,15,6.09,8.94,2.85,NaCl2,6.7
203,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Minus,7,2,33,11/30/18,15,6,9.26,3.26,NaCl2,6.7
204,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Minus,7,2,33,11/30/18,15,6.13,9.37,3.24,NaCl2,6.7
205,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Plus,7,2,33,12/14/18,30,6.11,8.73,2.62,NaCl2,6.48
206,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Plus,7,2,33,12/14/18,30,6.02,8.26,2.24,NaCl2,7
207,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Plus,7,2,33,12/14/18,30,6.17,8.34,2.17,NaCl2,6.1
208,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Plus,7,2,33,12/14/18,30,6.09,8.59,2.5,NaCl2,6
209,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Plus,7,2,33,12/14/18,30,6,8.51,2.51,NaCl2,6.35
210,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Plus,7,2,33,12/14/18,30,6.13,8.66,2.53,NaCl2,7
211,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Minus,7,2,33,12/14/18,30,6.11,9.1,2.99,NaCl2,6.7
212,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Minus,7,2,33,12/14/18,30,6.02,9.28,3.26,NaCl2,6.7
213,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Minus,7,2,33,12/14/18,30,6.17,9.26,3.09,NaCl2,6.7
214,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Minus,7,2,33,12/14/18,30,6.09,9.32,3.23,NaCl2,6.7
215,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Minus,7,2,33,12/14/18,30,6,9.36,3.36,NaCl2,7.4
216,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Minus,7,2,33,12/14/18,30,6.13,9.32,3.19,NaCl2,6.7
217,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Plus,7,3,70,12/22/18,1,5.5,4.67,-0.83,NaCl3,1.7
218,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Plus,7,3,70,12/22/18,1,5.36,4.08,-1.28,NaCl3,1.7
219,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Plus,7,3,70,12/22/18,1,5.68,5.35,-0.33,NaCl3,1.7
220,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Plus,7,3,70,12/22/18,1,4.77,4.94,0.17,NaCl3,1.7
221,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Plus,7,3,70,12/22/18,1,4.28,4.39,0.11,NaCl3,1.7
222,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Plus,7,3,70,12/22/18,1,5.36,5.09,-0.27,NaCl3,1.7
223,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Minus,7,3,70,12/22/18,1,5.5,6.18,0.68,NaCl3,3.7
224,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Minus,7,3,70,12/22/18,1,5.36,6.04,0.68,NaCl3,3.7
225,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Minus,7,3,70,12/22/18,1,5.68,6.75,1.07,NaCl3,3.7
226,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Minus,7,3,70,12/22/18,1,4.77,6.51,1.74,NaCl3,3.7
227,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Minus,7,3,70,12/22/18,1,4.28,5.6,1.32,NaCl3,3.7
228,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Minus,7,3,70,12/22/18,1,5.36,6.78,1.42,NaCl3,3.7
229,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Plus,7,3,70,1/5/19,15,5.5,5.1,-0.4,NaCl3,4.88
230,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Plus,7,3,70,1/5/19,15,5.36,8.47,3.11,NaCl3,5.7
231,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Plus,7,3,70,1/5/19,15,5.68,7.81,2.13,NaCl3,5.54
232,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Plus,7,3,70,1/5/19,15,4.77,8.61,3.84,NaCl3,5.68
233,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Plus,7,3,70,1/5/19,15,4.28,8.5,4.22,NaCl3,5.7
234,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Plus,7,3,70,1/5/19,15,5.36,8.75,3.39,NaCl3,5.7
235,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Minus,7,3,70,1/5/19,15,5.5,9.07,3.57,NaCl3,5.7
236,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Minus,7,3,70,1/5/19,15,5.36,9.13,3.77,NaCl3,5.7
237,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Minus,7,3,70,1/5/19,15,5.68,9.37,3.69,NaCl3,5.7
238,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Minus,7,3,70,1/5/19,15,4.77,9.44,4.67,NaCl3,6.1
239,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Minus,7,3,70,1/5/19,15,4.28,9.15,4.87,NaCl3,5.7
240,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Minus,7,3,70,1/5/19,15,5.36,9.29,3.93,NaCl3,5.7
241,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Plus,7,3,70,1/20/19,30,5.5,8.84,3.75,NaCl3,6.35
242,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Plus,7,3,70,1/20/19,30,5.36,8.38,-0.09,NaCl3,7.3
243,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Plus,7,3,70,1/20/19,30,5.68,9.01,1.2,NaCl3,6.51
244,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Plus,7,3,70,1/20/19,30,4.77,8.77,0.16,NaCl3,6.44
245,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Plus,7,3,70,1/20/19,30,4.28,8.7,0.2,NaCl3,7.3
246,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Plus,7,3,70,1/20/19,30,5.36,8.98,0.22,NaCl3,5.88
247,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Minus,7,3,70,1/20/19,30,5.5,9.26,0.18,NaCl3,6.7
248,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Minus,7,3,70,1/20/19,30,5.36,9.28,0.15,NaCl3,6.7
249,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Minus,7,3,70,1/20/19,30,5.68,9.34,-0.03,NaCl3,6.7
250,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Minus,7,3,70,1/20/19,30,4.77,9.37,-0.07,NaCl3,6.7
251,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Minus,7,3,70,1/20/19,30,4.28,9.16,0.01,NaCl3,6.7
252,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Minus,7,3,70,1/20/19,30,5.36,9.31,0.02,NaCl3,6.7
253,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Plus,7,4,101,2/21/19,1,5.92,5.38,-0.54,NaCl4,1.7
254,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Plus,7,4,101,2/21/19,1,6.06,4.15,-1.91,NaCl4,1.7
255,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Plus,7,4,101,2/21/19,1,5.96,5.2,-0.76,NaCl4,1.7
256,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Plus,7,4,101,2/21/19,1,6.05,4.83,-1.21,NaCl4,1.7
257,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Plus,7,4,101,2/21/19,1,5.76,3.81,-1.95,NaCl4,1.7
258,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Plus,7,4,101,2/21/19,1,6.27,5.73,-0.54,NaCl4,1.7
259,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Minus,7,4,101,2/21/19,1,5.92,6.33,0.41,NaCl4,3.7
260,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Minus,7,4,101,2/21/19,1,6.06,6.41,0.35,NaCl4,3.7
261,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Minus,7,4,101,2/21/19,1,5.96,6.41,0.45,NaCl4,3.7
262,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Minus,7,4,101,2/21/19,1,6.05,6.64,0.6,NaCl4,3.7
263,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Minus,7,4,101,2/21/19,1,5.76,6.44,0.68,NaCl4,3.7
264,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Minus,7,4,101,2/21/19,1,6.27,6.89,0.62,NaCl4,3.7
265,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Plus,7,4,101,3/7/19,15,5.92,8.09,2.71,NaCl4,5.4
266,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Plus,7,4,101,3/7/19,15,6.06,8.01,3.86,NaCl4,5.88
267,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Plus,7,4,101,3/7/19,15,5.96,8.55,3.35,NaCl4,6.24
268,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Plus,7,4,101,3/7/19,15,6.05,8.62,3.79,NaCl4,5.7
269,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Plus,7,4,101,3/7/19,15,5.76,8.2,4.39,NaCl4,5.1
270,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Plus,7,4,101,3/7/19,15,6.27,8.61,2.88,NaCl4,5.7
271,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Minus,7,4,101,3/7/19,15,5.92,9.33,3,NaCl4,5.7
272,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Minus,7,4,101,3/7/19,15,6.06,9.09,2.68,NaCl4,6
273,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Minus,7,4,101,3/7/19,15,5.96,9.37,2.96,NaCl4,6
274,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Minus,7,4,101,3/7/19,15,6.05,9.3,2.66,NaCl4,6.3
275,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Minus,7,4,101,3/7/19,15,5.76,9.27,2.83,NaCl4,6.3
276,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Minus,7,4,101,3/7/19,15,6.27,9.28,2.39,NaCl4,5.88
277,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Plus,7,4,101,3/22/19,30,5.92,8.6,0.51,NaCl4,7.59
278,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Plus,7,4,101,3/22/19,30,6.06,8.83,0.82,NaCl4,6.93
279,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Plus,7,4,101,3/22/19,30,5.96,8.96,0.41,NaCl4,7.16
280,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Plus,7,4,101,3/22/19,30,6.05,8.97,0.35,NaCl4,7.17
281,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Plus,7,4,101,3/22/19,30,5.76,8.4,0.2,NaCl4,6.85
282,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Plus,7,4,101,3/22/19,30,6.27,8.94,0.33,NaCl4,7.33
283,FSL F2-0310,I,4b,Salmon,NaCl,Stationary,Minus,7,4,101,3/22/19,30,5.92,9.2,-0.13,NaCl4,7
284,FSL L4-0396,II,1/2a,Environment,NaCl,Stationary,Minus,7,4,101,3/22/19,30,6.06,9.39,0.29,NaCl4,7
285,FSL N1-0061,I,4b,Environment,NaCl,Stationary,Minus,7,4,101,3/22/19,30,5.96,9.31,-0.06,NaCl4,7.24
286,FSL F2-0237,II,1/2a,Salmon,NaCl,Stationary,Minus,7,4,101,3/22/19,30,6.05,9.27,-0.03,NaCl4,7
287,FSL L3-0051,I,1/2b,Salmon,NaCl,Stationary,Minus,7,4,101,3/22/19,30,5.76,9.19,-0.08,NaCl4,7
288,FSL L4-0060,I,1/2b,Environment,NaCl,Stationary,Minus,7,4,101,3/22/19,30,6.27,9.31,0.03,NaCl4,6.88
289,FSL F2-0310,I,4b,Salmon,pH,Stationary,Plus,7,1,7,10/20/18,1,4.74,5.89,1.15,pH1,1.7
290,FSL L4-0396,II,1/2a,Environment,pH,Stationary,Plus,7,1,7,10/20/18,1,5.57,6.16,0.59,pH1,1.7
291,FSL N1-0061,I,4b,Environment,pH,Stationary,Plus,7,1,7,10/20/18,1,5.87,5.08,-0.79,pH1,1.7
292,FSL F2-0237,II,1/2a,Salmon,pH,Stationary,Plus,7,1,7,10/20/18,1,5.43,5.19,-0.24,pH1,1.7
293,FSL L3-0051,I,1/2b,Salmon,pH,Stationary,Plus,7,1,7,10/20/18,1,5.65,3.48,-2.17,pH1,1.7
294,FSL L4-0060,I,1/2b,Environment,pH,Stationary,Plus,7,1,7,10/20/18,1,5.63,4.06,-1.57,pH1,1.7
295,FSL F2-0310,I,4b,Salmon,pH,Stationary,Minus,7,1,7,10/20/18,1,4.74,6.4,1.66,pH1,3.7
296,FSL L4-0396,II,1/2a,Environment,pH,Stationary,Minus,7,1,7,10/20/18,1,5.57,5.7,0.13,pH1,3.7
297,FSL N1-0061,I,4b,Environment,pH,Stationary,Minus,7,1,7,10/20/18,1,5.87,5.93,0.06,pH1,3.7
298,FSL F2-0237,II,1/2a,Salmon,pH,Stationary,Minus,7,1,7,10/20/18,1,5.43,5.67,0.24,pH1,3.7
299,FSL L3-0051,I,1/2b,Salmon,pH,Stationary,Minus,7,1,7,10/20/18,1,5.65,6.41,0.76,pH1,3.7
300,FSL L4-0060,I,1/2b,Environment,pH,Stationary,Minus,7,1,7,10/20/18,1,5.63,6.35,0.72,pH1,3.7
301,FSL F2-0310,I,4b,Salmon,pH,Stationary,Plus,7,1,7,11/3/18,15,4.74,9.22,4.48,pH1,5.7
302,FSL L4-0396,II,1/2a,Environment,pH,Stationary,Plus,7,1,7,11/3/18,15,5.57,7.42,1.85,pH1,5.7
303,FSL N1-0061,I,4b,Environment,pH,Stationary,Plus,7,1,7,11/3/18,15,5.87,9.25,3.38,pH1,6.7
304,FSL F2-0237,II,1/2a,Salmon,pH,Stationary,Plus,7,1,7,11/3/18,15,5.43,8.64,3.21,pH1,5.88
305,FSL L3-0051,I,1/2b,Salmon,pH,Stationary,Plus,7,1,7,11/3/18,15,5.65,4.57,-1.08,pH1,4.7
306,FSL L4-0060,I,1/2b,Environment,pH,Stationary,Plus,7,1,7,11/3/18,15,5.63,6.66,1.03,pH1,6.3
307,FSL F2-0310,I,4b,Salmon,pH,Stationary,Minus,7,1,7,11/3/18,15,4.74,8.63,3.89,pH1,5.7
308,FSL L4-0396,II,1/2a,Environment,pH,Stationary,Minus,7,1,7,11/3/18,15,5.57,9.34,3.77,pH1,5.7
309,FSL N1-0061,I,4b,Environment,pH,Stationary,Minus,7,1,7,11/3/18,15,5.87,8.8,2.93,pH1,5.7
310,FSL F2-0237,II,1/2a,Salmon,pH,Stationary,Minus,7,1,7,11/3/18,15,5.43,8.48,3.05,pH1,5.7
311,FSL L3-0051,I,1/2b,Salmon,pH,Stationary,Minus,7,1,7,11/3/18,15,5.65,8.8,3.15,pH1,6
312,FSL L4-0060,I,1/2b,Environment,pH,Stationary,Minus,7,1,7,11/3/18,15,5.63,9.1,3.47,pH1,6.18
313,FSL F2-0310,I,4b,Salmon,pH,Stationary,Plus,7,1,7,11/18/18,30,4.74,9.24,4.5,pH1,6.24
314,FSL L4-0396,II,1/2a,Environment,pH,Stationary,Plus,7,1,7,11/18/18,30,5.57,8.95,3.38,pH1,8
315,FSL N1-0061,I,4b,Environment,pH,Stationary,Plus,7,1,7,11/18/18,30,5.87,9.04,3.17,pH1,6.7
316,FSL F2-0237,II,1/2a,Salmon,pH,Stationary,Plus,7,1,7,11/18/18,30,5.43,8.37,2.94,pH1,6.88
317,FSL L3-0051,I,1/2b,Salmon,pH,Stationary,Plus,7,1,7,11/18/18,30,5.65,6.3,0.65,pH1,7
318,FSL L4-0060,I,1/2b,Environment,pH,Stationary,Plus,7,1,7,11/18/18,30,5.63,6.54,0.91,pH1,5.88
319,FSL F2-0310,I,4b,Salmon,pH,Stationary,Minus,7,1,7,11/18/18,30,4.74,9.24,4.5,pH1,7
320,FSL L4-0396,II,1/2a,Environment,pH,Stationary,Minus,7,1,7,11/18/18,30,5.57,9.53,3.96,pH1,6.7
321,FSL N1-0061,I,4b,Environment,pH,Stationary,Minus,7,1,7,11/18/18,30,5.87,8.57,2.7,pH1,6.7
322,FSL F2-0237,II,1/2a,Salmon,pH,Stationary,Minus,7,1,7,11/18/18,30,5.43,9.26,3.83,pH1,6.88
323,FSL L3-0051,I,1/2b,Salmon,pH,Stationary,Minus,7,1,7,11/18/18,30,5.65,9.14,3.49,pH1,6.7
324,FSL L4-0060,I,1/2b,Environment,pH,Stationary,Minus,7,1,7,11/18/18,30,5.63,9.3,3.67,pH1,6.7
325,FSL F2-0310,I,4b,Salmon,pH,Stationary,Plus,7,2,32,11/14/18,1,5.88,5.41,-0.47,pH2,1.7
326,FSL L4-0396,II,1/2a,Environment,pH,Stationary,Plus,7,2,32,11/14/18,1,5.7,4.66,-1.04,pH2,1.7
327,FSL N1-0061,I,4b,Environment,pH,Stationary,Plus,7,2,32,11/14/18,1,5.93,4.83,-1.1,pH2,1.7
328,FSL F2-0237,II,1/2a,Salmon,pH,Stationary,Plus,7,2,32,11/14/18,1,5.73,4.65,-1.08,pH2,1.7
329,FSL L3-0051,I,1/2b,Salmon,pH,Stationary,Plus,7,2,32,11/14/18,1,5.72,4.61,-1.11,pH2,1.7
330,FSL L4-0060,I,1/2b,Environment,pH,Stationary,Plus,7,2,32,11/14/18,1,5.83,4.12,-1.71,pH2,1.7
331,FSL F2-0310,I,4b,Salmon,pH,Stationary,Minus,7,2,32,11/14/18,1,5.88,6.08,0.2,pH2,3.7
332,FSL L4-0396,II,1/2a,Environment,pH,Stationary,Minus,7,2,32,11/14/18,1,5.7,5.95,0.25,pH2,3.7
333,FSL N1-0061,I,4b,Environment,pH,Stationary,Minus,7,2,32,11/14/18,1,5.93,6.21,0.28,pH2,3.7
334,FSL F2-0237,II,1/2a,Salmon,pH,Stationary,Minus,7,2,32,11/14/18,1,5.73,5.93,0.2,pH2,3.7
335,FSL L3-0051,I,1/2b,Salmon,pH,Stationary,Minus,7,2,32,11/14/18,1,5.72,6.22,0.5,pH2,3.7
336,FSL L4-0060,I,1/2b,Environment,pH,Stationary,Minus,7,2,32,11/14/18,1,5.83,5.97,0.14,pH2,3.7
337,FSL F2-0310,I,4b,Salmon,pH,Stationary,Plus,7,2,32,11/29/18,15,5.88,7.53,1.65,pH2,5.7
338,FSL L4-0396,II,1/2a,Environment,pH,Stationary,Plus,7,2,32,11/29/18,15,5.7,8.04,2.34,pH2,4.7
339,FSL N1-0061,I,4b,Environment,pH,Stationary,Plus,7,2,32,11/29/18,15,5.93,8.55,2.62,pH2,5.7
340,FSL F2-0237,II,1/2a,Salmon,pH,Stationary,Plus,7,2,32,11/29/18,15,5.73,7.62,1.89,pH2,5.7
341,FSL L3-0051,I,1/2b,Salmon,pH,Stationary,Plus,7,2,32,11/29/18,15,5.72,7.95,2.23,pH2,5
342,FSL L4-0060,I,1/2b,Environment,pH,Stationary,Plus,7,2,32,11/29/18,15,5.83,7.43,1.6,pH2,4.7
343,FSL F2-0310,I,4b,Salmon,pH,Stationary,Minus,7,2,32,11/29/18,15,5.88,8.85,2.97,pH2,6.7
344,FSL L4-0396,II,1/2a,Environment,pH,Stationary,Minus,7,2,32,11/29/18,15,5.7,8.48,2.78,pH2,6.7
345,FSL N1-0061,I,4b,Environment,pH,Stationary,Minus,7,2,32,11/29/18,15,5.93,8.98,3.05,pH2,6.7
346,FSL F2-0237,II,1/2a,Salmon,pH,Stationary,Minus,7,2,32,11/29/18,15,5.73,9.11,3.38,pH2,6.7
347,FSL L3-0051,I,1/2b,Salmon,pH,Stationary,Minus,7,2,32,11/29/18,15,5.72,8.72,3,pH2,6.7
348,FSL L4-0060,I,1/2b,Environment,pH,Stationary,Minus,7,2,32,11/29/18,15,5.83,9.01,3.18,pH2,6.7
349,FSL F2-0310,I,4b,Salmon,pH,Stationary,Plus,7,2,32,12/13/18,30,5.88,8.9,3.02,pH2,5.88
350,FSL L4-0396,II,1/2a,Environment,pH,Stationary,Plus,7,2,32,12/13/18,30,5.7,8.76,3.06,pH2,7.24
351,FSL N1-0061,I,4b,Environment,pH,Stationary,Plus,7,2,32,12/13/18,30,5.93,8.78,2.85,pH2,6.88
352,FSL F2-0237,II,1/2a,Salmon,pH,Stationary,Plus,7,2,32,12/13/18,30,5.73,8.7,2.97,pH2,6.7
353,FSL L3-0051,I,1/2b,Salmon,pH,Stationary,Plus,7,2,32,12/13/18,30,5.72,7.94,2.22,pH2,5.18
354,FSL L4-0060,I,1/2b,Environment,pH,Stationary,Plus,7,2,32,12/13/18,30,5.83,8.37,2.54,pH2,6
355,FSL F2-0310,I,4b,Salmon,pH,Stationary,Minus,7,2,32,12/13/18,30,5.88,9.09,3.21,pH2,6.7
356,FSL L4-0396,II,1/2a,Environment,pH,Stationary,Minus,7,2,32,12/13/18,30,5.7,9.02,3.32,pH2,6.7
357,FSL N1-0061,I,4b,Environment,pH,Stationary,Minus,7,2,32,12/13/18,30,5.93,9.12,3.19,pH2,6.7
358,FSL F2-0237,II,1/2a,Salmon,pH,Stationary,Minus,7,2,32,12/13/18,30,5.73,8.76,3.03,pH2,7.18
359,FSL L3-0051,I,1/2b,Salmon,pH,Stationary,Minus,7,2,32,12/13/18,30,5.72,9.09,3.37,pH2,7.24
360,FSL L4-0060,I,1/2b,Environment,pH,Stationary,Minus,7,2,32,12/13/18,30,5.83,9.06,3.23,pH2,7
361,FSL F2-0310,I,4b,Salmon,pH,Stationary,Plus,7,3,69,12/21/18,1,5.97,5.52,-0.45,pH3,1.7
362,FSL L4-0396,II,1/2a,Environment,pH,Stationary,Plus,7,3,69,12/21/18,1,5.91,5.51,-0.4,pH3,1.7
363,FSL N1-0061,I,4b,Environment,pH,Stationary,Plus,7,3,69,12/21/18,1,5.88,5.1,-0.78,pH3,1.7
364,FSL F2-0237,II,1/2a,Salmon,pH,Stationary,Plus,7,3,69,12/21/18,1,5.97,5.55,-0.42,pH3,1.7
365,FSL L3-0051,I,1/2b,Salmon,pH,Stationary,Plus,7,3,69,12/21/18,1,5.86,4.32,-1.54,pH3,1.7
366,FSL L4-0060,I,1/2b,Environment,pH,Stationary,Plus,7,3,69,12/21/18,1,5.61,4.79,-0.82,pH3,1.7
367,FSL F2-0310,I,4b,Salmon,pH,Stationary,Minus,7,3,69,12/21/18,1,5.97,6.38,0.41,pH3,3.7
368,FSL L4-0396,II,1/2a,Environment,pH,Stationary,Minus,7,3,69,12/21/18,1,5.91,6.28,0.37,pH3,3.7
369,FSL N1-0061,I,4b,Environment,pH,Stationary,Minus,7,3,69,12/21/18,1,5.88,6.57,0.69,pH3,3.7
370,FSL F2-0237,II,1/2a,Salmon,pH,Stationary,Minus,7,3,69,12/21/18,1,5.97,6.47,0.5,pH3,3.7
371,FSL L3-0051,I,1/2b,Salmon,pH,Stationary,Minus,7,3,69,12/21/18,1,5.86,5.72,-0.14,pH3,3.7
372,FSL L4-0060,I,1/2b,Environment,pH,Stationary,Minus,7,3,69,12/21/18,1,5.61,6.55,0.94,pH3,3.7
373,FSL F2-0310,I,4b,Salmon,pH,Stationary,Plus,7,3,69,1/4/19,15,5.97,8.87,2.9,pH3,6.6
374,FSL L4-0396,II,1/2a,Environment,pH,Stationary,Plus,7,3,69,1/4/19,15,5.91,8.79,2.88,pH3,4.7
375,FSL N1-0061,I,4b,Environment,pH,Stationary,Plus,7,3,69,1/4/19,15,5.88,8.57,2.69,pH3,5.7
376,FSL F2-0237,II,1/2a,Salmon,pH,Stationary,Plus,7,3,69,1/4/19,15,5.97,8.94,2.97,pH3,5.57
377,FSL L3-0051,I,1/2b,Salmon,pH,Stationary,Plus,7,3,69,1/4/19,15,5.86,8.48,2.62,pH3,5.72
378,FSL L4-0060,I,1/2b,Environment,pH,Stationary,Plus,7,3,69,1/4/19,15,5.61,8.67,3.06,pH3,5.6
379,FSL F2-0310,I,4b,Salmon,pH,Stationary,Minus,7,3,69,1/4/19,15,5.97,9.22,3.25,pH3,5.7
380,FSL L4-0396,II,1/2a,Environment,pH,Stationary,Minus,7,3,69,1/4/19,15,5.91,9.02,3.11,pH3,5.7
381,FSL N1-0061,I,4b,Environment,pH,Stationary,Minus,7,3,69,1/4/19,15,5.88,9.14,3.26,pH3,5.7
382,FSL F2-0237,II,1/2a,Salmon,pH,Stationary,Minus,7,3,69,1/4/19,15,5.97,9.21,3.24,pH3,5.88
383,FSL L3-0051,I,1/2b,Salmon,pH,Stationary,Minus,7,3,69,1/4/19,15,5.86,8.95,3.09,pH3,5.88
384,FSL L4-0060,I,1/2b,Environment,pH,Stationary,Minus,7,3,69,1/4/19,15,5.61,9.11,3.5,pH3,5.7
385,FSL F2-0310,I,4b,Salmon,pH,Stationary,Plus,7,3,69,1/19/19,30,5.97,9,0.13,pH3,6.7
386,FSL L4-0396,II,1/2a,Environment,pH,Stationary,Plus,7,3,69,1/19/19,30,5.91,9,0.21,pH3,7.1
387,FSL N1-0061,I,4b,Environment,pH,Stationary,Plus,7,3,69,1/19/19,30,5.88,9.03,0.46,pH3,6.7
388,FSL F2-0237,II,1/2a,Salmon,pH,Stationary,Plus,7,3,69,1/19/19,30,5.97,9.11,0.16,pH3,6.7
389,FSL L3-0051,I,1/2b,Salmon,pH,Stationary,Plus,7,3,69,1/19/19,30,5.86,8.54,0.06,pH3,7.1
390,FSL L4-0060,I,1/2b,Environment,pH,Stationary,Plus,7,3,69,1/19/19,30,5.61,8.88,0.21,pH3,5.7
391,FSL F2-0310,I,4b,Salmon,pH,Stationary,Minus,7,3,69,1/19/19,30,5.97,9.13,-0.09,pH3,6.7
