Observation,Strain,Lineage,Serotype,Source,Condition,Phase,Nisin,Temperature,Replicate,Age,Date,Day,Inoculum,Log_CFU,Log_Diff,AgeGroup,Native_Microbiota
39,FSL N1-0061,I,4b,Environment,BHI,Stationary,Plus,7,2,18,10/31/18,1,6.03,5.45,-0.58,BHI2,1.7
40,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Plus,7,2,18,10/31/18,1,5.36,5.12,-0.24,BHI2,1.7
41,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Plus,7,2,18,10/31/18,1,5.45,5.08,-0.37,BHI2,1.7
42,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Plus,7,2,18,10/31/18,1,6.07,4.97,-1.1,BHI2,1.7
43,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Minus,7,2,18,10/31/18,1,6.05,6.15,0.1,BHI2,3.7
44,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Minus,7,2,18,10/31/18,1,5.93,6.01,0.08,BHI2,3.7
45,FSL N1-0061,I,4b,Environment,BHI,Stationary,Minus,7,2,18,10/31/18,1,6.03,6.46,0.43,BHI2,3.7
46,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Minus,7,2,18,10/31/18,1,5.36,6.45,1.09,BHI2,3.7
47,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Minus,7,2,18,10/31/18,1,5.45,6.1,0.65,BHI2,3.7
48,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Minus,7,2,18,10/31/18,1,6.07,6.48,0.41,BHI2,3.7
49,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Plus,7,2,18,11/14/18,15,6.05,8.52,2.47,BHI2,5.7
50,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Plus,7,2,18,11/14/18,15,5.93,7.15,1.22,BHI2,4.9
51,FSL N1-0061,I,4b,Environment,BHI,Stationary,Plus,7,2,18,11/14/18,15,6.03,8.31,2.28,BHI2,6.21
52,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Plus,7,2,18,11/14/18,15,5.36,8.52,3.16,BHI2,5.1
53,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Plus,7,2,18,11/14/18,15,5.45,7.99,2.54,BHI2,5.81
54,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Plus,7,2,18,11/14/18,15,6.07,8.46,2.39,BHI2,5.88
55,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Minus,7,2,18,11/14/18,15,6.05,8.88,2.83,BHI2,5.7
56,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Minus,7,2,18,11/14/18,15,5.93,9.05,3.12,BHI2,6.1
57,FSL N1-0061,I,4b,Environment,BHI,Stationary,Minus,7,2,18,11/14/18,15,6.03,9.01,2.98,BHI2,5.7
58,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Minus,7,2,18,11/14/18,15,5.36,8.95,3.59,BHI2,5.7
59,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Minus,7,2,18,11/14/18,15,5.45,8.88,3.43,BHI2,5.7
60,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Minus,7,2,18,11/14/18,15,6.07,9.19,3.12,BHI2,5.7
61,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Plus,7,2,18,11/29/18,30,6.05,8.69,2.64,BHI2,6.18
62,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Plus,7,2,18,11/29/18,30,5.93,8.66,2.73,BHI2,6.24
63,FSL N1-0061,I,4b,Environment,BHI,Stationary,Plus,7,2,18,11/29/18,30,6.03,7.07,1.04,BHI2,6.44
64,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Plus,7,2,18,11/29/18,30,5.36,8.68,3.32,BHI2,7
65,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Plus,7,2,18,11/29/18,30,5.45,6.62,1.17,BHI2,5.86
66,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Plus,7,2,18,11/29/18,30,6.07,8.27,2.2,BHI2,5.7
67,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Minus,7,2,18,11/29/18,30,6.05,8.97,2.92,BHI2,7.1
68,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Minus,7,2,18,11/29/18,30,5.93,9.06,3.13,BHI2,7
69,FSL N1-0061,I,4b,Environment,BHI,Stationary,Minus,7,2,18,11/29/18,30,6.03,9.06,3.03,BHI2,6.7
70,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Minus,7,2,18,11/29/18,30,5.36,9.1,3.74,BHI2,7.44
71,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Minus,7,2,18,11/29/18,30,5.45,8.93,3.48,BHI2,7.3
72,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Minus,7,2,18,11/29/18,30,6.07,9.13,3.06,BHI2,6.7
73,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Plus,7,3,68,12/20/18,1,6.18,5.28,-0.9,BHI3,1.7
74,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Plus,7,3,68,12/20/18,1,6.1,5.06,-1.04,BHI3,1.7
75,FSL N1-0061,I,4b,Environment,BHI,Stationary,Plus,7,3,68,12/20/18,1,6.18,4.69,-1.49,BHI3,1.7
76,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Plus,7,3,68,12/20/18,1,6.14,4.98,-1.16,BHI3,1.7
77,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Plus,7,3,68,12/20/18,1,5.9,4.74,-1.16,BHI3,1.7
78,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Plus,7,3,68,12/20/18,1,6.09,5.01,-1.08,BHI3,1.7
79,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Minus,7,3,68,12/20/18,1,6.18,5.86,-0.32,BHI3,3.7
80,FSL L4-0396,II,1/2a,Environment,BHI,Stationary,Minus,7,3,68,12/20/18,1,6.1,6.06,-0.04,BHI3,3.7
81,FSL N1-0061,I,4b,Environment,BHI,Stationary,Minus,7,3,68,12/20/18,1,6.18,5.92,-0.26,BHI3,3.7
82,FSL F2-0237,II,1/2a,Salmon,BHI,Stationary,Minus,7,3,68,12/20/18,1,6.14,6.47,0.33,BHI3,3.7
83,FSL L3-0051,I,1/2b,Salmon,BHI,Stationary,Minus,7,3,68,12/20/18,1,5.9,5.87,-0.03,BHI3,3.7
84,FSL L4-0060,I,1/2b,Environment,BHI,Stationary,Minus,7,3,68,12/20/18,1,6.09,6.21,0.12,BHI3,3.7
85,FSL F2-0310,I,4b,Salmon,BHI,Stationary,Plus,7,3,68,1/3/18,15,6.18,5.7,0.42,BHI3,5.7
